id	sample_01	sample_02	sample_03	sample_04	sample_05	sample_06	sample_07	sample_08
ENSG00000008735	247.609642582141	202.183430619405	213.594638399029	261.491007876978	559.865321042673	560.525674577886	544.877485606852	609.587586259307
ENSG00000015475	28.4175444477326	44.7432518579671	37.5647386329424	81.5849180380744	45.0746824588638	70.8894881382758	60.3058227922763	35.2093974191308
ENSG00000025708	720.142727069058	774.84394504708	873.583865212627	744.60530321973	496.643452421429	452.958983270245	485.487698367043	451.612816602096
ENSG00000040608	597.717271398787	593.381243700487	498.376922388671	542.635769114291	344.538790800781	392.056394911799	362.910290724176	268.581331123205
ENSG00000054611	733.707837709607	695.515620637166	610.148283416429	712.009464683386	732.593745545176	690.564563253201	704.280595326486	741.967035201525
ENSG00000069998	226.720834877007	229.175049789267	219.70882786517	210.754017420308	364.788755378385	344.981488819732	408.491370622091	385.922724964914
ENSG00000070010	127.558584208312	120.306341626113	114.658824817746	103.158823371448	172.281629259432	180.336868746998	141.065627994156	180.509113108283
ENSG00000070371	2287.38987718353	1870.69757852226	1986.59591616752	2164.1104614266	2157.00305025721	2296.33078123117	1887.21365051897	1821.7525650083
ENSG00000070413	154.165865218616	177.961526736112	336.051761668659	204.283419398093	197.859883827312	141.682570008568	210.914282590885	246.761620725604
ENSG00000073146	872.524658352982	846.259261806576	851.71817684146	818.261582076347	695.069395122785	846.506993100399	741.349571565869	774.245833352193
ENSG00000073150	1138.23434345601	1045.84914637874	999.6408773504	1025.13327644958	727.332034603856	796.876430097175	769.558420023076	710.560463152141
ENSG00000075218	602.606019099113	678.287826098381	628.606558567434	572.817857713841	481.878930627904	453.691025586454	407.750132568016	451.406131333863
ENSG00000075240	240.422817369131	328.976431807757	195.944122047433	347.72683275953	269.340503892059	387.528614506001	371.01825499348	297.008787449412
ENSG00000077935	652.284936879095	701.548449232401	669.318017016447	631.900965417283	799.61165467103	721.663912070774	771.786895362647	680.8076349478
ENSG00000077942	1070.23708850997	1130.00070272146	1154.93975867484	1028.61610147244	1154.87684281427	1064.85676778232	1175.18063989608	1093.14372877806
ENSG00000079974	372.637594855082	421.256289872353	396.569943112585	352.881635194186	329.017045283326	334.465023361765	373.313210144858	403.575810209584
ENSG00000093000	292.370832457878	329.538990524041	303.454968627935	389.944993823247	241.964469413784	325.334827945928	275.5297401325	230.194833938123
ENSG00000093009	486.686026906538	482.368226687904	537.758433427141	487.966758665626	511.910229813118	523.146137698269	454.785100180216	497.210143483614
ENSG00000093010	231.255284816056	233.255306308429	238.830782567245	202.428779120087	344.057180386547	310.682269069201	308.008209371118	363.24069682037
ENSG00000093072	322.767379611775	463.483147308641	448.341377279539	359.02761969934	435.075481338751	425.608280624078	515.501342177747	373.174860011594
ENSG00000099899	39.5785780933971	81.3167484551964	35.5936994383063	66.8428231380466	106.174111437034	66.9698142834004	61.3162261438182	80.4746979423643
ENSG00000099901	224.275371441116	204.26718837761	214.566522974778	193.6511633935	166.266121309366	150.69800069558	196.022708589745	167.99059979273
ENSG00000099917	560.350124844885	378.730281959343	449.58366522605	540.312791332938	458.015357237889	474.226133840574	659.296036820982	564.693420463927
ENSG00000099940	50.7411181377563	76.2258920028694	42.5161261341664	45.2178250760403	115.185894303059	123.113679667029	70.3663845012108	147.87134767425
ENSG00000099942	219.196752834698	236.742048514893	243.255671900144	203.488554879512	189.295841378232	183.222726823409	191.005588292795	129.763997218095
ENSG00000099949	148.040188787854	162.707689592327	137.066068056235	120.87354228118	73.4764235060608	92.2184392362131	107.488720533908	102.503093600658
